"Issue Type","Resumen","Description","Epic Name","Epic Link","Assignee","Priority","Story Points","Labels","Status","Epic Status Proyecto","Acceptance Criteria","HU Codigo"
"Epic","Configuracion - Gestion de Roles","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Configuracion - Gestion de Roles","","","High","","configuracion,roles","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Usuarios - Gestion de Usuarios","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: En proceso.","Usuarios - Gestion de Usuarios","","","High","","usuarios,gestion","En proceso","En proceso","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Usuarios - Gestion de Acceso","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: En proceso.","Usuarios - Gestion de Acceso","","","High","","usuarios,acceso,auth","En proceso","En proceso","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Compras - Gestion de Proveedores","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Compras - Gestion de Proveedores","","","High","","compras,proveedores","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Compras - Gestion de Compras","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Compras - Gestion de Compras","","","High","","compras,proceso-compras","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Compras - Gestion de Productos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Compras - Gestion de Productos","","","High","","compras,productos","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Compras - Gestion Categoria de Productos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Compras - Gestion Categoria de Productos","","","High","","compras,categorias","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Produccion - Entrega de Insumos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Produccion - Entrega de Insumos","","","High","","produccion,insumos","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Produccion - Gestion de Produccion","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Produccion - Gestion de Produccion","","","High","","produccion","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Ventas - Gestion de Clientes","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Ventas - Gestion de Clientes","","","High","","ventas,clientes","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Ventas - Gestion de Ventas","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: En proceso.","Ventas - Gestion de Ventas","","","High","","ventas","En proceso","En proceso","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Ventas - Gestion de Abonos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Ventas - Gestion de Abonos","","","High","","ventas,abonos","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Ventas - Gestion de Pedidos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: En proceso.","Ventas - Gestion de Pedidos","","","High","","ventas,pedidos","En proceso","En proceso","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Ventas - Gestion de Domicilios","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: En proceso.","Ventas - Gestion de Domicilios","","","High","","ventas,domicilios","En proceso","En proceso","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Medicion - Gestion de Medicion","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Medicion - Gestion de Medicion","","","High","","medicion,dashboard","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Movil - Acceso","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Movil - Acceso","","","High","","movil,acceso","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Movil - Pedidos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Movil - Pedidos","","","High","","movil,pedidos","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Movil - Gestion de Abonos","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Movil - Gestion de Abonos","","","High","","movil,abonos","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Epic","Movil - Gestion de Ventas","Epica Scrum del proyecto Grandma''s Liquors. Estado actual inferido de historias HU: Realizada.","Movil - Gestion de Ventas","","","High","","movil,ventas","Realizada","Realizada","Definir DoD, pruebas y cierre funcional de la epica.",""
"Story","HU_001 - Listar roles","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Jhonnier Hernandez","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_001"
"Story","HU_002 - Ver detalle rol","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Santiago Sanchez Jalvin","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_002"
"Story","HU_003 - Crear rol","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Juan Manuel Rendon","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_003"
"Story","HU_004 - Editar rol","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Pedro Alejandro Correa","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_004"
"Story","HU_005 - Cambiar estado rol","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Jhonnier Hernandez","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_005"
"Story","HU_006 - Buscar roles","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Santiago Sanchez Jalvin","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_006"
